Company,Primary Sector,Tags,Short Description,Country,Region,Date,Quarter,Amount ($),Investment Type,TPIC,Corp Investor?,Investor 1,Investor 2,Investor 3,Investor 4,Investor 5,Investor 6,Investor 7,Investor 8,Investor 9,Investor 10,Investor 11,Investor 12,Investor 13
Ekotrope,Energy Efficiency,"Cleanweb,Efficient Design & Build,Energy Efficiency,Energy Services,Smart Buildings,Software",Provider of software to aid in the efficient design of buildings.,United States,North America,2014/12/08,4Q14,"$1,355,000",Series B,"$3,055,000",No,,,,,,,,,,,,,
Electrochaea,Energy Storage,"Carbon Capture and Sequestration (CCS),Catalysts,Conventional Fuels,Energy Storage,Gasification,Grid Energy Storage,Hardware,Hydrogen,Natural Gas,Oil & Gas,Power Grid,Renewables Integration,SNG",Developer of a power-to-gas energy storage technology that converts excess electricity from wind and solar into renewable gas for direct injection into the existing natural gas infrastructure,Germany,Europe & Israel,2014/11/07,4Q14,,Series A,"$1,800,000",No,Munich Venture Partners,b-to-v Partners,Caliza Holdings,KfW,Sirius Venture Partners,,,,,,,,
FRX Polymers,Advanced Materials,"Advanced Materials,Apparel & Footwear,Consumer Products,Electronics,Flame Retardants,Global Cleantech 100 (2012),Hardware,Plastics,Polycarbonates,Polymers,Textiles","Developer of a patent protected, non-halogen, non burning family of transparent high flow thermoplastics in the global flame retardant plastics market",United States,North America,2014/01/15,1Q14,"$12,000,000",Growth Equity,"$58,200,000",Yes,BASF Venture Capital,Capricorn Venture Partners,Israel Cleantech Ventures,Masdar Capital,Evonik Venture Capital,,,,,,,,
LIFX,Energy Efficiency,"Energy Efficiency,Hardware,Lighting,Lighting Control Systems,Smart Buildings,Smart Home,Software",Developer of Wi-Fi enabled LED lightbulbs,Australia,Asia Pacific,2014/06/23,2Q14,"$12,000,000",Series A,"$13,300,000",No,Sequoia Capital,,,,,,,,,,,,
Mcor Technologies,Advanced Materials,Advanced Materials,Manufacturer of 3D colour printers using ordinary paper as build material,Ireland,Europe & Israel,2014/05/29,2Q14,"$12,000,000",Growth Equity,"$12,000,000",No,WHEB,,,,,,,,,,,,
NanoMech,Advanced Materials,"Advanced Materials,Coatings,Hardware,Lubricants,Nanomaterials,Nanoparticles",Developer and manufacturer of nanomacufacturing processes and nanomaterials,United States,North America,2014/09/18,3Q14,"$12,000,000",Series B,"$22,639,501",No,Meadow Lane Investments,Hendricks Investment Holdings,Advantage Capital Partners,Spring Creek Investments,,,,,,,,,
Emerging Fuels Technology,Conventional Fuels,"Biofuel Conversion,Biofuels & Biochemicals,Biotechnology Developer,CTL,Chemical/Catalytic Conversion,Clean Coal,Conventional Fuels,Fischer Tropsch Synthesis,GTL,Gasification,Industrial Biotech,Liquefaction,Oil & Gas,Process Technology,Services,Syngas",Developer of Fischer Tropsch synthesis gas catalyst technology and provider of plant engineering services,United States,North America,2014/10/14,4Q14,"$864,000",Growth Equity,"$7,864,000",No,,,,,,,,,,,,,
SCIenergy,Energy Efficiency,"Cleanweb,Cloud Computing,Commercial Buildings,Commissioning,Energy Efficiency,Energy Services,Enterprise Energy Management,Global Cleantech 100 (2011),Green IT,Smart Buildings,Software",Provider of a cloud-based solution for commercial buildings to manage energy use,United States,North America,2014/04/01,2Q14,"$12,000,000",Growth Equity,"$54,300,000",Yes,Braemar Energy Ventures,Mitsui,The Westly Group,Draper Fisher Jurvetson (DFJ),Triangle Peak Partners,DFJ Growth,Edison International,,,,,,
tenKsolar,Solar,"Balance of Systems,Concentrating Photovoltaics (CPV),Downstream PV,Ground-Mounted PV,Hardware,Midstream PV,PV Cells / Modules,PV Mounting & Racking,Photovoltaics (PV),Rooftop PV,Solar",Developer of integrated solar PV systems using reflective mirror concentration and mounting hardware,United States,North America,2014/01/27,1Q14,"$12,000,000",Growth Equity,"$41,140,000",No,Oaktree Capital Management,Greencoat Capital,,,,,,,,,,,
Endurance Wind Power,Wind,"Conventional Horizontal,Hardware,Horizontal Axis Wind Turbine,Onshore Wind,Small-Scale Wind,Turbine / Component Manufacturing,Wind",Manufacturer of advanced wind turbines designed specifically for distributed wind power applications,Canada,North America,2014/10/15,4Q14,"$232,000",Growth Equity,"$3,604,538",No,,,,,,,,,,,,,
Transphorm,Energy Efficiency,"Efficient Electronics,Energy Efficiency,Global Cleantech 100 (2011),Global Cleantech 100 (2012),Global Cleantech 100 (2013),Global Cleantech 100 (2014)","Developer of technology to eliminate the electric conversion losses when converting power from one form to another, AC/DC, AC/AC, DC/AC and DC/DC",United States,North America,2014/07/14,3Q14,"$11,855,000",Growth Equity,"$148,355,000",No,,,,,,,,,,,,,
Energie Perspective,Energy Efficiency,Energy Efficiency,provider of a web service for energy efficient renovations,France,Europe & Israel,2014/12/09,4Q14,"$2,270,000",Growth Equity,"$2,270,000",No,MGEN France,,,,,,,,,,,,
Eyefreight,Transportation,"Cleanweb,Logistics Provider,Shipping Service Provider,Software,Transportation,Transportation Software",Provider of web-based freight management solutions,Netherlands,Europe & Israel,2014/01/14,1Q14,"$11,800,000",Series B,"$11,800,000",No,De Hoge Dennen Capital,Global Cleantech Capital,,,,,,,,,,,
GeoDigital,Energy Efficiency,Energy Efficiency,Developer of LiDAR mapping and imaging technology for engineering surveys,Canada,North America,2014/01/07,1Q14,"$11,293,341",Growth Equity,"$21,026,365",No,,,,,,,,,,,,,
MTPV Power Corporation,Energy Efficiency,"Advanced Materials,Concentrating Photovoltaics (CPV),Energy Efficiency,Energy Storage,Global Cleantech 100 (2014),Industrial Efficiency,Photovoltaics (PV),Solar,Waste Heat Recovery",Developer of Micron-Gap ThermalPhotovoltaic (MTPV) semiconductors that convert heat to energy with high efficiency,United States,North America,2014/07/15,3Q14,"$11,200,000",Series B,"$24,950,000",Yes,Northwater Capital Management,Total Energy Ventures,SABIC Ventures,Spinnaker Capital,Ensys Capital,Clean Energy Venture Group,Point Financial,,,,,,
Energy Storage Systems,Energy Storage,"C&I Energy Management,Electrochemical Storage,Energy Storage,Flow Batteries,Grid Energy Storage,Hardware,Power Grid,Renewables Integration,Wholesale Energy Services",Developer of an advanced flow battery technology that utilizes earth-abundant iron as its energy storage medium,United States,North America,2014/11/13,4Q14,"$135,000",Seed,"$135,000",No,Seattle Angel Conference,,,,,,,,,,,,
Amplidata,Energy Efficiency,"Energy Efficiency,Green IT,Hardware,Software",Provider of energy efficient data storage solutions,Belgium,Europe & Israel,2014/03/24,1Q14,"$11,000,000",Growth Equity,"$28,055,642",Yes,Intel Capital,Hummingbird Ventures,Quantum Corporation,Swisscom,,,,,,,,,
Benefuel,Biofuels & Biochemicals,"Biochemicals,Biodiesel,Biofuel Conversion,Biofuels & Biochemicals,Chemical/Catalytic Conversion,Industrial Biotech,Lubricants & Additives,Oils,Transesterification",Developer of biofuel and biomaterial production process and platform,United States,North America,2014/07/08,3Q14,"$11,000,000",Growth Equity,"$14,772,869",Yes,Suncor Energy,Flint Hills Resources,ITOCHU,,,,,,,,,,
d.light design,Solar,"Global Cleantech 100 (2010),PV Consumer Products,Photovoltaics (PV),Solar",d.light is a for-profit social enterprise that manufactures and distributes solar lighting and power products,United States,North America,2014/02/25,1Q14,"$11,000,000",Growth Equity,"$26,200,000",No,Draper Fisher Jurvetson (DFJ),Omidyar Network,Acumen Fund,Garage Technology Ventures,Nexus Venture Partners,Gray Ghost Ventures,,,,,,,
Ensyn Technologies,Biofuels & Biochemicals,"Biocrude Oils,Biofuels & Biochemicals,Biomass Deconstruction,Cellulosic Biomass,Forest Residue,Industrial Biotech,Pyrolysis,Thermal Deconstruction",Developer of a pyrolysis technology that converts residual forestry and agricultural waste into bio-oil,Canada,North America,2014/11/18,4Q14,"$12,700,000",Growth Equity,"$35,700,000",No,,,,,,,,,,,,,
Ethical Electric,Other Cleantech,"Downstream PV,Other Cleantech,Photovoltaics (PV),Services,Solar,Wind",Provider of clean energy for residential homes and businesses through local utility companies,United States,North America,2014/01/07,1Q14,"$11,000,000",Series A,"$13,420,000",No,Matthew Palevsky,,,,,,,,,,,,
SGB,Agriculture & Food,"Agriculture,Agriculture & Food,Biofuels & Biochemicals,Biotechnology Developer,Crops,Feedstock Producer,Feedstock Technology,Genetic Engineering,Industrial Biotech,Plant Genomics,Precision Agriculture","Developer of cost-effective production of plant oil, protein and biomass for the industrial materials market",United States,North America,2014/09/09,3Q14,"$11,000,000",Growth Equity,"$37,400,000",Yes,Thomas McNerney & Partners,Finistere Ventures,Flint Hills Resources,,,,,,,,,,
Eos Energy Storage,Energy Storage,"Batteries,Electrochemical Storage,Energy Storage,Grid Energy Storage,Hardware,Power Grid,Vehicle Energy Storage,Zinc-Based Batteries","Developer of a proprietary rechargeable zinc-air battery technology for utility, automotive, commercial applications",United States,North America,2014/11/28,4Q14,"$2,500,000",Growth Equity,"$28,620,860",No,,,,,,,,,,,,,
Blacklight Power,Other Cleantech,"Fuel Cells,Fuel Cells & Hydrogen,Hydrogen,Hydrogen Production,Other Cleantech",Developer of a new hydrogen chemical process which generates energy up to 100 times that of traditional combustion,United States,North America,2014/07/31,3Q14,"$10,944,000",Growth Equity,"$76,920,000",No,,,,,,,,,,,,,
Finally,Energy Efficiency,"Energy Efficiency,Hardware,Lighting,Smart Buildings,Smart Home",Provider of efficient light bulb technology,United States,North America,2014/04/10,2Q14,"$10,800,000",Series B,"$23,391,000",No,,,,,,,,,,,,,
SuVolta,Energy Efficiency,"Efficient Electronics,Energy Efficiency,Semiconductors",Developer of low power semiconductors,United States,North America,2014/01/14,1Q14,"$10,600,000",Growth Equity,"$72,700,000",Yes,Fujitsu,Kleiner Perkins Caufield & Byers (KPCB),August Capital,New Enterprise Associates (NEA),Northgate Capital,DAG Ventures,,,,,,,
Green & Grow,Agriculture & Food,"Agriculture & Food,Crops,Fertilizers,Field Treatments",Developer of biologically derived agricultural products,United States,North America,2014/08/27,3Q14,"$10,500,000",Series B,"$12,100,000",No,Otter Capital,,,,,,,,,,,,
MarkWater Handling Systems,Conventional Fuels,"Conventional Fuels,Drilling Optimization,Hardware,Oil & Gas,Services,Well Engineering",Supplier of automated material handling systems and associated services for the offshore drilling industry.,Canada,North America,2014/05/30,2Q14,"$10,500,000",Growth Equity,"$24,000,000",No,EnerTech Capital,Export Development Canada,32 Degrees Capital,,,,,,,,,,
Eos Energy Storage,Energy Storage,"Batteries,Electrochemical Storage,Energy Storage,Grid Energy Storage,Hardware,Power Grid,Vehicle Energy Storage,Zinc-Based Batteries","Developer of a proprietary rechargeable zinc-air battery technology for utility, automotive, commercial applications",United States,North America,2014/11/05,4Q14,"$700,000",Series B,"$28,620,860",No,,,,,,,,,,,,,
Rebellion Photonics,Air,"Air,Conventional Fuels,Digital Oilfield,Hardware,Networking & Communication,Oil & Gas,Pipeline / Storage,Pollution Monitoring,Sensors",Maker of optical sensor technology to detect gas leaks at oil rigs and refineries,United States,North America,2014/01/12,1Q14,"$10,400,000",Series A,"$10,400,000",No,Tinicum,,,,,,,,,,,,
Oxitec,Agriculture & Food,"Agriculture & Food,Animal Health,Livestock,Pest Control","Developer of genetically modified sterile insects enabling environmentally-friendly, species specific biological control for agricultural pests",United Kingdom,Europe & Israel,2014/06/23,2Q14,"$10,300,000",Growth Equity,"$32,990,000",No,East Hill Management,Oxford Capital Partners,University of Oxford,,,,,,,,,,
Modern Agricultural Equipment,Agriculture & Food,"Agriculture & Food,Food Processing,Industrial Biotech,Protein Replacements",Manufacturer of modern agricultural equipment,China,Asia Pacific,2014/01/23,1Q14,"$10,140,000",Growth Equity,"$10,140,000",No,Yirun Venture Capital,Huinong Capital,Lang Ma Feng Venture Capital,Fortune Link,,,,,,,,,
Via Transportation,Transportation,"Hardware,Ride Sharing,Transportation","Transportation technology company focused on developing a mass-market urban transportation solution that is flexible, cost-effective, and environmentally-friendly",United States,North America,2014/03/27,1Q14,"$10,064,136",Series A,"$10,064,136",No,Greylock Partners,,,,,,,,,,,,
AA Yongche,Transportation,"Car Rental,Software,Transportation",Provider of an online car rental platform,China,Asia Pacific,2014/09/05,3Q14,"$10,000,000",Series A,"$10,000,000",No,,,,,,,,,,,,,
Abe's Market,Agriculture & Food,"Agriculture & Food,Cleanweb,Local Food Sourcing,Software",Online marketplace for natural products,United States,North America,2014/02/07,1Q14,"$10,000,000",Series B,"$18,400,000",No,Accel Partners,Beringea Ventures (Invest Michigan),Carmel Ventures,Index Ventures,,,,,,,,,
Blue River Technology,Agriculture & Food,"Agriculture & Food,Crop Types,Crops,Hardware,Precision Agriculture,Robotics",Developer and provider of computer vision based robotics for agricultural use,United States,North America,2014/03/19,1Q14,"$10,000,000",Series A,"$13,100,000",No,Data Collective,Innovation Endeavors,Khosla Ventures,,,,,,,,,,
citeecar,Transportation,"Car Sharing,Software,Transportation",Provider of low-cost self-service car rental,Luxembourg,Europe & Israel,2014/04/04,2Q14,"$10,000,000",Series A,"$10,000,000",No,Mangrove Capital Partners,bscope,,,,,,,,,,,
CityMapper,Transportation,"Cleanweb,Logistics Provider,Software,Transportation",Developer of cloud-based interactive mapping software,United Kingdom,Europe & Israel,2014/04/18,2Q14,"$10,000,000",Series A,"$10,000,000",No,Balderton Capital,Index Ventures,Greylock Partners,Connect Ventures,,,,,,,,,
Conservis,Agriculture & Food,"Agriculture & Food,Agriculture Software,Crops,Software",Developer of farm management software,United States,North America,2014/09/08,3Q14,"$10,000,000",Series A,"$11,000,000",Yes,Cultivian Sandbox,Middleland Capital,Heartland Farms,,,,,,,,,,
Eco Wave Power,Hydro & Marine Power,"Hydro & Marine Power,Near-Shore Wave Power,Wave Power",Developer of hydrokinetic energy harvesting devices,Israel,Europe & Israel,2014/05/27,2Q14,"$10,000,000",Growth Equity,"$10,000,000",No,,,,,,,,,,,,,
Equal Earth,Solar,"Commercial Scale,Downstream PV,Ground-Mounted PV,Photovoltaics (PV),Project Development,Residential Scale,Rooftop PV,Services,Solar,Systems Integration",Provider of solar PV project development services for residential and commercial scale installations,United States,North America,2014/12/12,4Q14,,Growth Equity,"$2,137,072",No,,,,,,,,,,,,,
FreshRealm,Agriculture & Food,"Agriculture & Food,Food Transportation,Services",Provider of a fresh food delivery service,United States,North America,2014/05/02,2Q14,"$10,000,000",Series A,"$10,000,000",No,"Impermanence, LLC",,,,,,,,,,,,
Iceotope,Energy Efficiency,"Energy Efficiency,Hardware",Developer of liquid cooling server technology ,United Kingdom,Europe & Israel,2014/01/13,1Q14,"$10,000,000",Series A,"$10,000,000",Yes,Aster Capital,Ombu Group,,,,,,,,,,,
Essess,Energy Efficiency,"Building Energy Management Systems,Cleanweb,Commercial Buildings,Energy Efficiency,Enterprise Energy Management,Hardware,Smart Buildings,Software",Provider of building efficiency optimization solutions catalyzed through drive-by thermal energy loss audits,United States,North America,2014/11/21,4Q14,,Series B,"$6,000,000",Yes,Vocap Ventures,DFJ Athena,Constellation Technology Ventures,Massachusetts Clean Energy Center (MassCEC),Tamarisc,,,,,,,,
Eternal Sun,Solar,"Advanced Materials,Cadmium Telluride (CdTe),Consumer Products,Conventional PV,Copper Indium Gallium (di)Selenide (CIGS),Downstream PV,Dye-sensitized Solar Cell (DSC),Electronics,Gallium Arsenide (GaAs),Household and Workplace Products,Organic Photovoltaics (OPV),PV Thin Film,Personal Care,Photovoltaic Thermal Hybrid (PV/T),Photovoltaics (PV),Semiconductors,Smart Grid,Solar,Solar Equipment Wholesaling,Solar Thermal,Thin Film,Thin Film Silicon (TF-Si)",Provider of solar testing equipment,Netherlands,Europe & Israel,2014/12/03,4Q14,"$2,460,000",Series A,"$2,460,000",No,Vermec N.V.,,,,,,,,,,,,
LumaStream,Energy Efficiency,"Commercial Buildings,Energy Efficiency,Lighting,Smart Buildings",Maker of LED lighting fixtures,United States,North America,2014/02/18,1Q14,"$10,000,000",Series B,"$10,000,000",No,,,,,,,,,,,,,
Modern Meadow,Agriculture & Food,"Agriculture & Food,Food Processing,Industrial Biotech,Protein Replacements","Developer of bioprinting, a technology that combines 3D printing with edible cultured meat",United States,North America,2014/06/18,2Q14,"$10,000,000",Series A,"$10,000,000",No,Horizons Ventures,,,,,,,,,,,,
ParkWhiz,Transportation,"Cleanweb,Parking Management,Software,Transportation,Transportation Software",Developer of a parking app enabling better utilization of existing parking infrastructure,United States,North America,2014/07/21,3Q14,"$10,000,000",Series B,"$12,000,000",No,Hyde Park Angels,Hyde Park Venture Partners,Alexis Ohanian,Henry Feinberg,Amreesh Modi,Jump Capital,,,,,,,
PowerGenix,Energy Storage,"Batteries,Electrochemical Storage,Energy Storage,Grid Energy Storage,Nickel-Based Batteries,Power Grid,Vehicle Energy Storage,Zinc-Based Batteries",Developer and manufacturer of nickel-zinc batteries for electric vehicles and other uses,United States,North America,2014/09/17,3Q14,"$10,000,000",Growth Equity,"$88,550,000",Yes,Blue Earth,,,,,,,,,,,,
PP Zuche,Transportation,"Car Sharing,Services,Software,Transportation",Developer of a car sharing platform,China,Asia Pacific,2014/06/09,2Q14,"$10,000,000",Series A,"$70,482,000",No,Sequoia Capital,,,,,,,,,,,,
PrecisionHawk,Agriculture & Food,"Agriculture & Food,Crops,Hardware,Precision Agriculture,Sensors,UAV",Developer of unmanned aerial systems and remote sensing technologies; formerly known as WineHawk Labs,United States,North America,2014/09/18,3Q14,"$10,000,000",Series B,"$10,780,000",Yes,Millennium Technology Value Partners,Innovate Indiana (IU),Bob Young,Intel Capital,,,,,,,,,
RelayRides,Transportation,"Car Sharing,Cleanweb,Global Cleantech 100 (2011),Global Cleantech 100 (2012),Global Cleantech 100 (2013),Passenger Car,Services,Software,Transportation","Developer of a peer-to-peer car sharing platform that connects car owners willing to rent their cars that are not in use, with drivers who need short-term vehicle access",United States,North America,2014/08/12,3Q14,"$10,000,000",Series B,"$48,000,000",No,Trinity Ventures,,,,,,,,,,,,
Sidecar,Transportation,"Cleanweb,Ride Sharing,Services,Software,Transportation",Provider of on-demand ride-sharing network,United States,North America,2014/02/19,1Q14,"$10,000,000",Series B,"$36,225,000",Yes,Union Square Ventures,Correlation Ventures,Avalon Ventures,SoftBank Capital,,,,,,,,,
Sprig,Agriculture & Food,"Agriculture & Food,Local Food Sourcing,Services,Software",Developer of app-based healthy food delivery service,United States,North America,2014/03/07,1Q14,"$10,000,000",Series A,"$11,200,000",No,Greylock Partners,Accel Partners,Battery Ventures,,,,,,,,,,
StoreDot,Advanced Materials,"Advanced Materials,Hardware","Developer of multifunctional nanodots capable of enhancing data and energy storage, LCD displays, and biomedical technology",Israel,Europe & Israel,2014/06/12,2Q14,"$10,000,000",Series A,"$48,000,000",No,Roman Abramovich,,,,,,,,,,,,
Streetline,Transportation,"Cleanweb,Global Cleantech 100 (2013),Hardware,Internet of Things,Parking Management,Software,Transportation,Transportation Software",Provider of smart parking solutions through wireless sensors located in parking spots and managed through a wireless mesh network,United States,North America,2014/07/01,3Q14,"$10,000,000",Growth Equity,"$59,720,751",No,RockPort Capital Partners,Sutter Hill Ventures,Fontinalis Partners,True Ventures,,,,,,,,,
Terra Motors,Transportation,"Electric Vehicles,Hardware,Scooter,Transportation",Manufacturer of electric scooters,Japan,Asia Pacific,2014/05/15,2Q14,"$10,000,000",Growth Equity,"$13,940,000",No,Fenox Venture Capital,Mizuho Capital Co. Ltd.,Shinsei Bank,SMBC Venture Capital,Aizawa Securities,,,,,,,,
ThetaRay,Smart Grid,"Power Grid,Smart Grid",Provider of big data and cyber security services for energy and infrastructure operators,Israel,Europe & Israel,2014/07/29,3Q14,"$10,000,000",Growth Equity,"$10,000,000",Yes,General Electric,Jerusalem Venture Partners (JVP),Poalim Capital Markets,,,,,,,,,,
ubitricity,Smart Grid,"Charge Stations & Infrastructure,Cleanweb,EV Charging & Management,Hardware,Power Grid,Smart Grid,Transportation,Transportation Infrastructure,Vehicle to Grid",Developer and provider of a mobile metering technology and billing platform for EV smart charging infrastructure,Germany,Europe & Israel,2014/04/30,2Q14,"$10,000,000",Series A,"$12,500,000",No,EDF Deutschland,EarlyBird Venture Capital,IBB Beteiligungsgesellschaft GmbH,Other Private Investors,,,,,,,,,
uu Zuche,Transportation,"Car Sharing,Services,Software,Transportation",Developer of a peer-to-peer personal car sharing platform,China,Asia Pacific,2014/09/24,3Q14,"$10,000,000",Series A,"$10,000,000",No,Lightspeed China Partners,K2 Ventures,Gang Wang,,,,,,,,,,
Vestaron,Agriculture & Food,"Agriculture & Food,Animal Health,Global Cleantech 100 (2013),Livestock,Pest Control",Designing the next generation of biopesticides from naturally occuring peptides,United States,North America,2014/08/22,3Q14,"$10,000,000",Growth Equity,"$28,400,000",No,Cultivian Sandbox,Open Prairie Ventures,Michigan Accelerator Fund,Pangaea Ventures,Southwest Michigan Life Science Venture Fund,,,,,,,,
WaterHealth,Water & Wastewater,"Disinfection,Filtration / Separation / Purification,Global Cleantech 100 (2010),Global Cleantech 100 (2011),Global Cleantech 100 (2012),Membrane Water Treatment,Residential/Commercial Water,UV Treatment,Water & Wastewater",Provides water purification and disinfection technology to underserved rural and peri-urban communities in developing countries.,United States,North America,2014/09/25,3Q14,"$10,000,000",Growth Equity,"$72,850,000",No,Vital Capital,,,,,,,,,,,,
Ziebel,Conventional Fuels,"Conventional Fuels,Digital Oilfield,Drilling & Completions,Hardware,Monitoring & Control,Oil & Gas,Oil & Gas Production,Sensors,Well Engineering,Well Monitoring","Provider of well completions, monitoring, data harvesting and intervention technologies for the oil and gas industry",Norway,Europe & Israel,2014/01/21,1Q14,"$10,000,000",Growth Equity,"$22,000,000",Yes,Energy Ventures,Chevron Technology Ventures,ConocoPhillips,Jebsen Asset Management,Viking Venture,Investinor,Klaveness Marine,,,,,,
zuzuChe,Transportation,"Car Rental,Software,Transportation",Provider of web-based car rental services,China,Asia Pacific,2014/09/22,3Q14,"$10,000,000",Series A,"$10,000,000",No,Qiming Venture Partners,,,,,,,,,,,,
Evident Technologies,Advanced Materials,"Advanced Materials,Electronics,Energy Efficiency,Lighting,Nanomaterials",Developer of nano-scale thermoelectric materials for energy efficiency applications in lighting and other industries,United States,North America,2014/11/06,4Q14,"$1,000,000",Growth Equity,"$2,426,668",No,,,,,,,,,,,,,
NexSteppe,Biofuels & Biochemicals,"Agriculture,Biofuels & Biochemicals,Cellulosic Biomass,Feedstock Producer,Global Cleantech 100 (2012),Global Cleantech 100 (2013),Global Cleantech 100 (2014),Industrial Biotech,Non-Food Crops,Sorghum,Switchgrass","Developer of sustainable feedstock solutions for the biofuels, biopower and biobased products' industries",United States,North America,2014/04/18,2Q14,"$9,658,346",Growth Equity,"$45,658,346",No,Zygote Ventures,Braemar Energy Ventures,,,,,,,,,,,
Cylon Controls,Energy Efficiency,"Building Energy Management Systems,Commercial Buildings,Energy Efficiency,Enterprise Energy Management,Smart Buildings",Provider of deliver building energy management solutions,Ireland,Europe & Israel,2014/06/27,2Q14,"$9,600,000",Growth Equity,"$9,600,000",No,Greencoat Capital,,,,,,,,,,,,
Brammo,Transportation,"Electric Vehicles,Motorcycle,Transportation",Designer and developer of plug-in electric motorcycles,United States,North America,2014/03/07,1Q14,"$9,500,000",Growth Equity,"$57,500,000",No,Aviva Investors,Terracap Ventures,,,,,,,,,,,
Evrythng,Other Cleantech,"Internet of Things,Other Cleantech,Software",Developer of a SaaS platform for Internet of Things applications,United Kingdom,Europe & Israel,2014/10/30,4Q14,,Series B,"$7,000,000",Yes,Samsung Ventures,,,,,,,,,,,,
SunPartner Technologies,Solar,"Hardware,Solar",Developer of thin photovoltaic surface materials,France,Europe & Israel,2014/04/14,2Q14,"$9,270,000",Growth Equity,"$28,770,000",Yes,Credit Agricole,Eurowatt Partenaire,Davanière Capital Partenaire,Gravitation,Sigma Gestion,,,,,,,,
Newlight Technologies,Advanced Materials,"Advanced Materials,Air,Carbon Capture and Sequestration (CCS),Plastics,Polymers",Developer of polymerization technology to convert greenhouse gases to valuable biodegradable plastics,United States,North America,2014/04/02,2Q14,"$9,200,000",Growth Equity,"$19,375,000",No,,,,,,,,,,,,,
Busbud,Transportation,"Software,Transportation",Developer of a mobile app for booking bus travel,Canada,North America,2014/07/09,3Q14,"$9,000,000",Series A,"$9,000,000",No,OMERS Ventures,Revolution Ventures,Real Ventures,iNovia Capital,,,,,,,,,
Clean Wave Technologies,Transportation,"Drive Train,Electric Vehicles,Transportation,Vehicle Components",Developer of electric drive systems for clean powered vehicles,United States,North America,2014/01/29,1Q14,"$8,700,000",Growth Equity,"$8,700,000",No,,,,,,,,,,,,,
Isorg,Advanced Materials,"Advanced Materials,Ceramics,Consumer Products,Electronics,Films,Glass,Hardware,Household and Workplace Products,Medical Devices,Plastics,Polymers",Developer of organic and printed electronics devices for large-area photonics and image sensors,France,Europe & Israel,2014/07/09,3Q14,"$8,700,000",Series A,"$8,700,000",No,BPIFrance,Sofimac Partners,CEA Investissement,,,,,,,,,,
Catalysis,Recycling & Waste,"Industrial Waste,Metals / Alloys,Recycling,Recycling & Waste,Reprocessing,Reprocessing Technologies",Developer of a process to recycle spent catalyst from crude oil refineries,Germany,Europe & Israel,2014/05/02,2Q14,"$8,600,000",Series A,"$8,600,000",No,,,,,,,,,,,,,
FarmersEdge,Agriculture & Food,"Agriculture & Food,Agriculture Software,Crops,Imaging,Precision Agriculture,Software",Developer of variable rate mapping software and provider,Canada,North America,2014/11/10,4Q14,,Series A,,No,Kleiner Perkins Caufield & Byers (KPCB),,,,,,,,,,,,
E-Leather,Advanced Materials,"Advanced Materials,Fibers,Textiles,Transportation",Provider of engineered materials based on leather waste from the traditional leather industry,United Kingdom,Europe & Israel,2014/05/20,2Q14,"$8,410,000",Growth Equity,"$28,959,580",No,Environmental Technologies Fund (ETF),,,,,,,,,,,,
Econic,Geothermal,"Commercial Heating & Cooling,Geothermal,Hardware,Residential Heating & Cooling",Provider of ground-source heat pumps for heating and cooling applcications,United Kingdom,Europe & Israel,2014/01/13,1Q14,"$8,347,000",Series A,"$8,347,000",No,Imperial Innovations,,,,,,,,,,,,
drivy,Transportation,"Car Sharing,Cleanweb,Passenger Car,Services,Software,Transportation",Developer of a peer-to-peer car sharing platform that connects car-owners willing to rent their cars with potential users,France,Europe & Israel,2014/05/05,2Q14,"$8,326,900",Series A,"$10,926,900",No,Alven Capital,Index Ventures,,,,,,,,,,,
Bag Borrow Or Steal,Recycling & Waste,Recycling & Waste,,United States,North America,2014/03/08,1Q14,"$8,250,000",Series B,"$25,050,000",No,Impact Ventures,Valence Capital Management,Madrona Venture Group,,,,,,,,,,
JDC Phosphate,Agriculture & Food,"Agriculture & Food,Crops,Fertilizers,Field Treatments,Hardware",Developer of sustainable production technology for phosphate products,United States,North America,2014/02/28,1Q14,"$8,200,000",Growth Equity,"$31,242,611",No,Agrifos Partners,Florida Opportunity Fund,,,,,,,,,,,
Lucid,Energy Efficiency,"Building Energy Management Systems,Cleanweb,Commercial Buildings,Energy Efficiency,Enterprise Energy Management,Smart Buildings,Software","Provider of cloud-based, real-time performance monitoring software for commercial buildings",United States,North America,2014/06/16,2Q14,"$8,200,000",Series B,"$9,700,000",No,Formation 8,Zetta Venture Partners,,,,,,,,,,,
YASA Motors,Transportation,"Electric Vehicles,Hardware,Motorcycle,Passenger Car,Transportation",Developer of high power and torque density axial flux motors,United Kingdom,Europe & Israel,2014/01/16,1Q14,"$8,175,000",Growth Equity,"$11,305,000",No,,,,,,,,,,,,,
GRID2020,Smart Grid,"BPL,Demand Response,Grid Networking,Power Grid,Smart Grid",Provider of real-time demand response and energy management solutions,United States,North America,2014/02/28,1Q14,"$8,100,000",Growth Equity,"$11,630,000",No,,,,,,,,,,,,,
